ortho	Lexique3__phon	Lexique3__lemme	Lexique3__cgram	Lexique3__freqlemfilms2	Lexique3__freqfilms2	Lexique3__islem	Lexique3__nblettres	Lexique3__puorth	Lexique3__puphon	Lexique3__nbsyll	Lexique3__cgramortho
faire	fER	faire	VER	8813.48	2735.96	1	5	5	3	1	VER
était	etE	être	VER	32236.5	2356.65	0	5	0	3	2	AUX,VER
comme	kOm	comme	CON	2326.08	2326.08	1	5	5	3	1	ADV,CON
cette	sEt	cette	ADJ:dem	1902.27	1902.27	1	5	4	3	1	ADJ:dem
votre	vOtR	votre	ADJ:pos	1894.09	1894.09	1	5	4	4	1	ADJ:pos,PRO:pos
quand	k@	quand	CON	1827.92	1827.92	1	5	5	2	1	ADV,CON
alors	alOR	alors	ADV	1777.65	1777.65	1	5	4	4	2	ADV
allez	ale	aller	VER	9992.77	1414.85	0	5	0	3	2	NOM,VER
aussi	osi	aussi	ADV	1402.33	1402.33	1	5	5	3	2	ADV
chose	Soz	chose	NOM	1773.62	1321.79	1	5	5	3	1	NOM
temps	t@	temps	NOM	1031.05	1031.05	1	5	5	2	1	NOM
notre	nOtR	notre	ADJ:pos	1022.94	1022.94	1	5	5	4	1	ADJ:pos,PRO:pos
viens	vj5	venir	VER	2763.82	944.81	0	5	0	0	1	VER
merci	mERsi	merci	ONO	936.01	936.01	1	5	5	5	2	NOM,ONO
crois	kRwa	croire	VER	1711.99	904.45	0	5	0	4	1	VER
monde	m§d	monde	NOM	830.72	823.62	1	5	5	3	1	NOM
aller	ale	aller	VER	9992.77	816.76	1	5	5	3	2	NOM,VER
femme	fam	femme	NOM	1049.32	806.57	1	5	5	3	1	NOM
homme	Om	homme	NOM	1123.55	781.11	1	5	5	2	1	NOM
voilà	vwala	voilà	PRE	726.44	726.44	1	5	5	5	2	PRE
avoir	avwaR	avoir	AUX	18559.22	674.24	1	5	5	5	2	AUX,NOM,VER
autre	otR	autre	ADJ	786.09	668.48	1	5	5	3	1	ADJ,ADV,NOM,PRO:ind
juste	Zyst	juste	ADJ	656.86	653.49	1	5	5	4	1	ADJ,ADV,NOM
mieux	mj2	mieux	ADV	651.73	651.73	1	5	5	3	1	ADV,NOM
étais	etE	être	VER	32236.5	649.35	0	5	0	3	2	NOM,AUX,VER
fille	fij	fille	NOM	841.56	627.59	1	5	5	3	1	NOM
avait	avE	avoir	VER	13572.4	596.64	0	5	0	0	2	AUX,VER
après	apRE	après	PRE	593.92	593.92	1	5	5	4	2	ADV,PRE
bonne	bOn	bon	ADJ	1554.44	578.93	0	5	5	3	1	ADJ,NOM
comme	kOm	comme	ADV	577.64	577.64	1	5	5	3	1	ADV,CON
petit	p°ti	petit	ADJ	1106.8	573.72	1	5	5	4	2	ADJ,ADV,NOM
maman	mam@	maman	NOM	540.21	537.44	1	5	5	4	2	NOM
ouais	wE	ouais	ADV	533.02	533.02	1	5	5	2	1	ADV
avant	av@	avant	PRE	529.51	529.51	1	5	5	3	2	ADJ,ADV,NOM,PRE
passe	pas	passer	VER	1495.49	523.58	0	5	5	3	1	NOM,VER
pense	p@s	penser	VER	1485.47	517.64	0	5	0	3	1	VER
plaît	plE	plaire	VER	607.21	499.91	0	5	0	3	1	VER
moins	mw5	moins	ADV	478.75	478.75	1	5	5	3	1	ADV,NOM
autre	otR	autre	PRO:ind	473.33	473.33	1	5	5	3	1	ADJ,ADV,NOM,PRO:ind
parle	paRl	parler	VER	1970.55	451.68	0	5	0	0	1	VER
amour	amuR	amour	NOM	458.27	450.46	1	5	5	4	2	NOM
toute	tut	tout	ADJ	2948.75	441.79	0	5	5	3	1	ADJ,ADJ:ind,PRO:ind
jours	ZuR	jour	NOM	1061.92	426.7	0	5	0	3	1	NOM
elles	El	elles	PRO:per	420.51	420.51	1	5	5	2	1	PRO:per
heure	9R	heure	NOM	709.79	415.4	1	5	5	2	1	NOM
avais	avE	avoir	AUX	18559.22	412.04	0	5	0	0	2	AUX,VER
savez	save	savoir	VER	4516.71	407.94	0	5	0	0	2	VER
assez	ase	assez	ADV	407.75	407.75	1	5	5	3	2	ADV
avoir	avwaR	avoir	VER	13572.4	404.19	1	5	5	5	2	AUX,NOM,VER
donne	dOn	donner	VER	1209.67	401.06	0	5	5	3	1	NOM,VER
avait	avE	avoir	AUX	18559.22	395.71	0	5	0	0	2	AUX,VER
trois	tRwa	trois	ADJ:num	380.8	380.8	1	5	5	4	1	ADJ:num
merci	mERsi	merci	NOM	379.38	378.44	1	5	5	5	2	NOM,ONO
avais	avE	avoir	VER	13572.4	373.32	0	5	0	0	2	AUX,VER
entre	@tR	entre	PRE	372.72	372.72	1	5	5	3	1	PRE,VER
venir	v°niR	venir	VER	2763.82	367.13	1	5	5	5	2	VER
aider	ede	aider	VER	688.71	362.77	1	5	5	3	2	VER
vient	vj5	venir	VER	2763.82	352.24	0	5	0	0	1	VER
était	etE	être	AUX	8074.24	350.91	0	5	0	3	2	AUX,VER
seule	s9l	seul	ADJ	891.45	349.74	0	5	0	3	1	ADJ,NOM
grand	gR@	grand	ADJ	638.72	338.27	1	5	5	3	1	ADJ,ADV,NOM
reste	REst	rester	VER	1003.56	320.44	0	5	5	4	1	NOM,VER
dites	dit	dire	VER	5946.15	311.69	0	5	0	0	1	VER,ADJ
frère	fRER	frère	NOM	390.39	311.45	1	5	3	4	1	NOM
venez	v°ne	venir	VER	2763.82	304.03	0	5	0	0	2	VER
passé	pase	passer	VER	1495.49	297.63	0	5	5	4	2	VER,ADJ,ADV,NOM
avons	av§	avoir	AUX	18559.22	291.71	0	5	0	0	2	AUX,VER
porte	pORt	porte	NOM	333.85	288.39	1	5	5	4	1	NOM,VER
belle	bEl	beau	ADJ	671.86	284.08	0	5	0	3	1	ADJ,NOM
place	plas	place	NOM	301.3	280.54	1	5	5	4	1	NOM,VER
ville	vil	ville	NOM	295.14	277.98	1	5	5	3	1	NOM
voici	vwasi	voici	PRE	277.59	277.59	1	5	4	4	2	PRE
salut	saly	salut	NOM	277.42	277.35	1	5	5	4	2	NOM,ONO
terre	tER	terre	NOM	294.45	276.29	1	5	5	3	1	NOM,VER
suite	s8it	suite	NOM	275.9	274.18	1	5	5	4	1	NOM
enfin	@f5	enfin	ADV	265.83	265.83	1	5	5	3	2	ADV
matin	mat5	matin	NOM	275.01	265.03	1	5	5	4	2	NOM
juste	Zyst	juste	ADV	252.71	252.71	1	5	5	4	1	ADJ,ADV,NOM
corps	kOR	corps	NOM	250.15	250.15	1	5	5	3	1	NOM
celui	s°l8i	celui	PRO:dem	250.13	250.13	1	5	5	5	2	PRO:dem
parlé	paRle	parler	VER	1970.55	248.94	0	5	5	5	2	VER,ADJ
train	tR5	train	NOM	255.28	244.4	1	5	5	3	1	NOM
leurs	l9R	leurs	ADJ:pos	243.56	243.56	1	5	5	3	1	ADJ:pos,PRO:pos
avons	av§	avoir	VER	13572.4	237.78	0	5	0	0	2	AUX,VER
jeune	Z9n	jeune	ADJ	297.01	234.9	1	5	5	3	1	ADJ,NOM
donné	done	donner	VER	1209.67	234.66	0	5	5	4	2	VER,ADJ,NOM
jouer	Zwe	jouer	VER	570.12	225.84	1	5	5	3	1	VER
coeur	k9R	coeur	NOM	239.97	224.98	1	5	5	3	1	NOM
avant	av@	avant	ADV	224.38	224.38	1	5	5	3	2	ADJ,ADV,NOM,PRE
merde	mERd	merde	ONO	221.46	221.46	1	5	5	4	1	NOM,ONO,VER
genre	Z@R	genre	NOM	221.51	219.66	1	5	5	3	1	NOM
